VendorName,ContactPerson,Address1,Address2,Address3,Country,City,Area,Pin,Telephone,Fax,Mobile,DrugLicence,VATNo,TinNo,VendorCode,VendorType,VendorCategory,Bank,AccountNo,PaymentMode,ShipmentDetail,Email,CreditDays
PARVATHY AGENCIES,MR.VIJAYA KUMAR,,,,,,,,2541576,,9364444776,,,,1,,,,,,,,
SRI RATHNA AGENCIES,MR.CHANDHRU,,,,,,,,,,965500517,,,,2,,,,,,,,
NAGAMMAI PHARMA,MR.CHINAIAN,,,,,,,,,,9894988916,,,,3,,,,,,,,
GEETHA PHARMA,MR.DEVA,,,,,,,,,,8220444315,,,,4,,,,,,,,
PALEPU PHARMA,MR. MR.RASAC,,,,,,,,,,9597562165,,,,5,,,,,,,,
AMBAL PHARMA,MR. VENKET,,,,,,,,4227613,,9449218662,,,,6,,,,,,,,
PURANI HOSPITALS PVT LTD-PHARMA,MR. MOORTHY,,,,,,,,4227613,,9994935509,,,,7,,,,,,,,
PURANI HOSPITALS PVT LTD-SPL,MR.MOORTHY,,,,,,,,4227613,,9994935510,,,,8,,,,,,,,
PURANI HOSPITALS PVT LTD- DIGNOSTICS,MR. KALISELVAN,,,,,,,,4227613,,9994935503,,,,9,,,,,,,,
PURANI HOSPITALS PVT LTD- VACCINE,MR. MOORTHY,,,,,,,,4227613,,9600912350,,,,10,,,,,,,,
MEENA AGENCIES,MR.MOHAN,,,,,,,,2495818,,9003404650,,,,11,,,,,,,,
SUCCESS PHARMA,MR.CHINAIAN,,,,,,,,254355,,9443756778,,,,12,,,,,,,,
VACCINE HOUSE,MR.RAGAVENDRAN,,,,,,,,,,9047051005,,,,13,,,,,,,,
SANTHOSH ENTERPRISES,MR.SURESH,,,,,,,,,,9894143001,,,,14,,,,,,,,
RASI ENTERPRISES,MR. SENTHIL,,,,,,,,2595627,,9585222533,,,,15,,,,,,,,
SURGICARE,MR. MANIKANDAN,,,,,,,,2230023,,9842875255,,,,16,,,,,,,,
SHRI LATHIKA SURGICAL,MR.BALU,,,,,,,,,,9486286856,,,,17,,,,,,,,
SABERWAL SURGICALS,MR.KUMAR / MR .SIVARAM,,,,,,,,,,9843890004,,,,18,,,,,,,,
CHINTHAMANI AGENCIES,MR.RAMU,,,,,,,,,,9865286752,,,,19,,,,,,,,
HEALTH CARE AGENCIES,MR.KANAN / MR. STEPHEN,,,,,,,,,,8608474997,,,,20,,,,,,,,
COVAI DRUG HOUSE,MR. MURUGAN,,,,,,,,2433148,,8124024081,,,,21,,,,,,,,
UMAYAL AENCIES,MR. RAMANATHAN,,,,,,,,2344502,,9994310414,,,,22,,,,,,,,
SHANKAR SURGICAL,MR. RANJITH / MR. BABU,,,,,,,,9600355532,,9843990008,,,,23,,,,,,,,
LAKSHMI ENTERPRISES,MRS. SUMITHRA,,,,,,,,2412121,,9842254111,,,,24,,,,,,,,
MSS SURGICAL,MRS. PRIYA,,,,,,,,,,9894384716,,,,25,,,,,,,,
JAYNTHI PHARMA,MR. MUTHUKUMAR / MRS. MALAR,,,,,,,,,,9600668939,,,,26,,,,,,,,
GAJALAKSHMI MEDICAL AGENCIES,MR.MANIKANDAN,,,,,,,,,,7598212648,,,,27,,,,,,,,
NEELAMEGAM PHARMA,MR.GOPLA KRISHNAN,,,,,,,,,,9942436632,,,,28,,,,,,,,
ROODEX HEALTH CARE,MR.RAJESH,,,,,,,,,,9043393683,,,,29,,,,,,,,
ADITYA MEDICAL LTD,MR.MAHALINGAM / MR.RAMESH,,,,,,,,,,9884709277,,,,30,,,,,,,,
GRAYNON ANON PHARMA,MR.MADHAVAN,,,,,,,,,,9486775783,,,,31,,,,,,,,
VINAYK PHARMA,MR. JAGADEESH KUMAR,,,,,,,,,,7667940858,,,,32,,,,,,,,
SK AGENCY,MR. SRINIVASAN,,,,,,,,,,9843036967,,,,33,,,,,,,,
CAREWEL SCIENTIFIC,MR.GOWRI  / MRS.SASIKLA,,,,,,,,2522444,,,,,,34,,,,,,,,
FREEDOM SCIENTIFIC,MR.KALPAN,,,,,,,,,,2232142,,,,35,,,,,,,,
ASWINI HELTHCARE,MR.RADHA,,,,,,,,,,9345050501,,,,36,,,,,,,,
SCIENTIFIC UNLIMITED,MR. KARTHIK,,,,,,,,,,984319043,,,,37,,,,,,,,
SRIS DIGNOSTICS,MR.SENTHIL,,,,,,,,,,9344434449,,,,38,,,,,,,,
CARDIONICS CONSUMABLES LTD,MR.KANAGARAJ,,,,,,,,3252555,,,,,,39,,,,,,,,
NAVEEN CHEMICALS,MR. JAYARAMAN,,,,,,,,,,9487871384,,,,40,,,,,,,,
SHARMA MERCANTILE CORPORATION,MR.,,,,,,,,2390658,,,,,,41,,,,,,,,
YASODHA TEXTILES,MR.GANESAN,,,,,,,,2397118,,,,,,42,,,,,,,,
HINDUSTAN COCO COLA,MR. CHARLES,,,,,,,,,,9047444235,,,,43,,,,,,,,
JENE AGENSIES,MR. KANAN,,,,,,,,,,9943316300,,,,44,,,,,,,,
GAJENDRA CORPORATION,MR. DANASEKARAN,,,,,,,,,,7402614205,,,,45,,,,,,,,
TV BROTHERS,MR.RAMESH,,,,,,,,,,9940904675,,,,46,,,,,,,,
BRIGHT TRADERS,MR.MARY,,,,,,,,,,9786822132,,,,47,,,,,,,,
N.P ENTERPRISES,MR.UMAPATHY,,,,,,,,,,9865149099,,,,48,,,,,,,,
SHANTHI TEA COMPNAY,MR.KATHIR,,,,,,,,,,9842349936,,,,49,,,,,,,,
DIRT HUNTE MOLECULE,MR.PRADEEP,,,,,,,,,,8489884898,,,,50,,,,,,,,
SANKAR &  CO,,,,,,,,,,,9842201570,,,,51,,,,,,,,
SUBBIAH NADAR,MR.,,,,,,,,,,9843023032,,,,52,,,,,,,,
GURUSAMY NADAR,MR.,,,,,,,,,,9150425542,,,,53,,,,,,,,
MARIMUTHHU & SONS,MR.,,,,,,,,6518477,,,,,,54,,,,,,,,
USHA TRADERS,MR.,,,,,,,,,,9894071681,,,,55,,,,,,,,
SRK EGG NILAYAM,MR.,,,,,,,,,,9842624762,,,,56,,,,,,,,
MUSROOM SUPPLIER,MRS . JIMITHA,,,,,,,,,,9842597166,,,,57,,,,,,,,
U.S PROTEIN,,,,,,,,,,,9524368088,,,,58,,,,,,,,
RAMAKRISHNA BAKERY,,,,,,,,,,,7373773359,,,,59,,,,,,,,
SHINE MASALA,,,,,,,,,,,9344718587,,,,60,,,,,,,,
CMM TRADERS,,,,,,,,,,,9443739109,,,,61,,,,,,,,
OM PRINTERS,,,,,,,,,,,8015586636,,,,62,,,,,,,,
KANAN JUBLIEE COFFEE,,,,,,,,,,,9047035590,,,,63,,,,,,,,
TE BAG SUPPLLIERS,,,,,,,,,,,9789108541,,,,64,,,,,,,,
KEERAI SUPPLIER,MR.RAJAPPAN,,,,,,,,,,9500251208,,,,65,,,,,,,,
VIMALA PAPER MART,MR MUTHU,,,,,,,,,,9952401682,,,,66,,,,,,,,
VIGNESH ENTERPRISES,,,,,,,,,,,9025134743,,,,67,,,,,,,,
ANANDA CORPORATION,,,,,,,,,2395218,,,,,,68,,,,,,,,
PARLE G BISCUITS,,,,,,,,,,,9894656283,,,,69,,,,,,,,
UNICOM INFOTEL,,,,,,,,,,,4214303,,,,70,,,,,,,,
SINDHU AGENCIES,,,,,,,,,2310962,,9994034685,,,,71,,,,,,,,
CHANDREEN STEEL,,,,,,,,,,,99449612302,,,,72,,,,,,,,
MASALA POORI SUPLLIER,,,,,,,,,,,9047531537,,,,73,,,,,,,,
T. V BROTHERS,,,,,,,,,,,9843463700,,,,74,,,,,,,,
T.V. BROTHERS,,,,,,,,,,,9944007812,,,,75,,,,,,,,
RD AGENCY,,,,,,,,,,,,,,,76,,,,,,,,
D. J MARKETING,,,,,,,,,,,9994158969,,,,77,,,,,,,,
BABA SURGICAL,,,,,,,,,,,9952346303,,,,78,,,,,,,,
YASODHA TEXTILES,,,,,,,,,,,9843031457,,,,79,,,,,,,,
S.S COMPANY,,,,,,,,,,,,,,,80,,,,,,,,
SANJEEVINI MEDITEC SRVICES,MR. D.KATHEERVEL,,,,,,,,,,9843024044,,,,81,,,,,,,,
SNOW BIRD,,,,,,,,,,,9842207815,,,,82,,,,,,,,
MUTHURAJA & CO,,,,,,,,,,,9787289790,,,,83,,,,,,,,
OM PRINTERS,MR.SURESH,,,,,,,,,,8015586636,,,,84,,,,,,,,
KARTHIK PAPER MART,MR. RAJESH,,,,,,,,,,9788825506,,,,85,,,,,,,,
MEENATCHI ELECTRICALS,MR. SIVA,,,,,,,,,,9894985370,,,,86,,,,,,,,
MEDILINE GARMENTS,MR. BALAJI,,,,,,,,,,9894926441,,,,87,,,,,,,,
CORTEX HEALTH CARE,MR.SHOKIL,,,,,,,,,,9840190779,,,,88,,,,,,,,
BED SHEET SUPPLIERS,MR. SOMASUNDRAM,,,,,,,,,,994418168,,,,89,,,,,,,,
GIRINATH & CO,,,,,,,,,2235537,,,,,,90,,,,,,,,
DIAMOND FURNITURE,MR. BALU,,,,,,,,,,9443332474,,,,91,,,,,,,,
AIR COOL CENTERE,,,,,,,,,,,9894960186,,,,92,,,,,,,,
ABINAV FABRICS,,,,,,,,,,,9994367002,,,,93,,,,,,,,
BALAJI TRADERS,,,,,,,,,,,9843022923,,,,94,,,,,,,,
ROYAL AGENCIES,,,,,,,,,,,8508773434,,,,95,,,,,,,,
SCORPION  SALT,,,,,,,,,,,9965661966,,,,96,,,,,,,,
ARUN PACKAGING,,,,,,,,,,,9952340450,,,,97,,,,,,,,
TECKNO THERM INDUSTRIES,,,,,,,,,,,9843037066,,,,98,,,,,,,,
ZAHEERA PLASTICS,,,,,,,,,,,9843323980,,,,99,,,,,,,,
GAJAENDRA CORPORATION,,,,,,,,,,,7402614205,,,,100,,,,,,,,
WASTE CLOTH SUPPLIERS,,,,,,,,,,,9944150056,,,,101,,,,,,,,
SEEMA CHEMICALS,,,,,,,,,2470555,,9363147108,,,,102,,,,,,,,
ANDRO HUB,,,,,,,,,,,7708111293,,,,103,,,,,,,,
VIJAY AGENCIES,,,,,,,,,,,8508658088,,,,104,,,,,,,,
MUTHU AGENCY,,,,,,,,,,,9842712606,,,,105,,,,,,,,
MUTHU AGENCIES,,,,,,,,,,,9842712606,,,,106,,,,,,,,
SELVA SINGH STORES,,,,,,,,,2493987,,,,,,107,,,,,,,,
FLOWER SUPPLIERS,,,,,,,,,,,8220870326,,,,108,,,,,,,,
MADHANI WATCH CENTERE,,,,,,,,,,,9943018145,,,,109,,,,,,,,
SURYA GAS,,,,,,,,,2431184,,,,,,110,,,,,,,,
VEGETABLE  SUPPLIERS,,,,,,,,,,,9944838888,,,,111,,,,,,,,
SUN PHARMACEUTICALS INDUSTRIES LTD,,,,,,,,,0452-267732,,,,,,112,,,,,,,,
NUOVOCARE,,,,,,,,,,,9600740999,,,,113,,,,,,,,
ISTA HEALTH CARE,,,,,,,,,,,9659643300,,,,114,,,,,,,,
APEX MEDITEC,,,,,,,,,,,9843810555,,,,115,,,,,,,,
BALAJI ENTERPRISES,MR. BALU,,,,,,,,,,9942436632,,,,116,,,,,,,,
CENERGY SOLUTION,,,,,,,,,0422-4213696,,,,,,117,,,,,,,,
DAVEY PHARMA  AND SURGICALS,,,,,,,,,2242252,,,,,,118,,,,,,,,
JEYANTHI PHARMA,,,,,,,,,,,9600668939,,,,119,,,,,,,,
TRUST PHARMA,,,,,,,,,,,6456665,,,,120,,,,,,,,
MERIDIAN INK,MR. PUZHAL,,,,,,,,,,9786980295,,,,121,,,,,,,,
